timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/26 20:56:31.431, 31 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:34.619, 34 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:37.759, 25 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:40.869, 33 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:44.130, 22 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:56:47.313, 30 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:56:50.366, 38 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:56:53.696, 24 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:56:56.793, 28 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:56:59.983, 26 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:57:03.059, 40 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:06.252, 18 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:09.661, 15 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:12.725, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:15.774, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:18.980, 26 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:22.217, 19 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:25.343, 34 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:28.463, 30 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:31.528, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:34.588, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:37.634, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:40.682, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:43.727, 40 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:46.800, 34 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:57:49.868, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:52.917, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:57:55.969, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:57:59.017, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:02.074, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:05.130, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:08.179, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:11.228, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:14.277, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:17.333, 38 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:58:20.384, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:23.438, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:26.487, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:29.564, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:32.625, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:35.976, 14 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:39.053, 41 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:42.104, 40 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:45.167, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:58:48.214, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:58:51.261, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:58:54.309, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:58:57.357, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:59:00.404, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:59:03.452, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:59:06.502, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:59:09.562, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:12.609, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:15.682, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:59:18.728, 38 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:59:21.775, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:59:24.823, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:59:27.869, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:59:30.917, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:59:33.966, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:37.014, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:40.076, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
