timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 12:40:30.000, 37 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:33.082, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:36.159, 29 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:39.213, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:42.275, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:45.340, 32 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:48.408, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:51.496, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:54.556, 41 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:57.621, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:00.690, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:03.750, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:06.835, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:09.987, 43 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:13.077, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:16.138, 29 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:19.186, 30 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:22.273, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:25.351, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:28.404, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:31.807, 24 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:35.020, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:38.132, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:41.196, 37 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:44.285, 32 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:47.365, 30 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:50.446, 24 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:53.646, 43 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:56.750, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:41:59.851, 41 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:03.059, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:06.167, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:09.224, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:12.285, 43 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:15.375, 30 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:18.436, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:21.488, 32 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:24.575, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:27.646, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:30.697, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:33.746, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:36.829, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:39.911, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:42.958, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:46.004, 38 %, 2 %, 11313 MiB, 15360 MiB, 37
